Index,Disease,Symptom,Treatment,Category
0,Apple Scab,"The first signs of apple scab often are not noticed. These signs include twisted and puckered leaves that have black, circular scabby spots on the underside. On the upper surface the spots look velvety and have an olive-green, sooty appearance. The spots may fuse and cover the whole leaf. As the disease progresses, the leaves yellow and drop. The fruit develops scabby spots that are tan and sunken. Apple scab may be confused with cedar-apple rust, also a fungal disease. Cedar-apple rust can also cause yellowing leaves, but the spots are bright yellow with a dark center of black fruiting bodies.","Foliar applications of Propizol in crabapple trees. Alternatively, apply Propizol by trunk injection. Make applic1. Live with the disease. Apple scab rarely kills trees and the severity of infection will vary from year to year depending upon climatic conditions. Give more attention to young trees that may not establish well if prematurely defoliated. Also take note of any trees that become weakened through several years of defoliation and act accordingly.

2. Keep plants healthy. A tree that is watered during dry periods will be better able to withstand periodic defoliation.

3. Clean up and destroy infected leaves. The fungus overwinters on infected leaves; therefore, it is important to rake up and destroy leaves in the fall. Since the spores also travel on the wind, cleaning up leaves may be only partially effective.

4. Prune trees to allow good air circulation. Allowing for better air movement will allow leaves to dry more quickly and help prevent infection from occurring. Do not use overhead watering.

5. Apply fungicidal sprays to susceptible trees if clean foliage is necessary or if defoliation reduces fruiting on eating apples. sulfur can be used but it must be applied before the fungal spores germinate. Chemicals registered for use include chlorothalonil (Daconil), copper, ferbam, fosetyl- Al, mancozeb, maneb, thiram, triflumizole, and ziram. Fungicidal sprays must be applied before infection as a preventive to be effective.

6. Replace the tree with a variety resistant to apple scab. Resistant varieties of eating apples include: ‘Florina’, ‘Freedom’, ‘Gavin’, ‘Jonafree’, ‘Liberty’, ‘Macfree’, ‘Nova Easygro’, ‘Novamac’, ‘Priam’, ‘Prima’, ‘Priscilla’, ‘Redfree’, and ‘Sir Prize’. Many resistant crabapple varieties are available at nurseries and garden centers or through mail order sources.ations when the trees are in full leaf and actively growing for control of the next season’s leaf disease development.",Apple
1,Apple Black Rot,"Large brown rotten areas can form anywhere on the fruit but are most common on the blossom end. Brown to black concentric rings can often be seen on larger infections.
The flesh of the apple is brown but remains firm.
Small, black spots can be seen on older fruit infections. These are fungal spore producing structures, called pycnidia.
Some fruit mummify (shrivel and dry out) and remain attached to the tree.
Occasionally fruit are infected early in the season. This results in fruit that ripen early and are rotten at the core.","Prune out dead or diseased branches.
Pick all dried and shriveled fruits remaining on the trees.
Remove infected plant material from the area.
All infected plant parts should be burned, buried or sent to a municipal composting site.
Be sure to remove the stumps of any apple trees you cut down. Dead stumps can be a source of spores.",Apple
2,Cedar  Apple Rust,"On leaves: Large yellow spots appear on cedar-hawthorn rust the upper surface of the leaves turning yellow orange to gray-brown as the spores mature. When rust is severe, all the foliage may turn bright yellow and drop prematurely. The orange leaf spots are smaller on apple and crabapple.

On fruits and twigs: Deformation of fruits and young twigs is particularly severe on hawthorns, but this damage is usually caused by the cedar-quince rust fungi and not cedar hawthorn rust fungi.

On juniper: Cedar-hawthorn rust galls are smaller in size than cedar-apple rust galls, less symmetrical, and more chocolate-brown in color. Galls remain on the twigs of branches of junipers for several years, where they continue to produce spores, compared to the one season spore production of cedar-apple rust.","Cultural Control
Because this disease requires two hosts, the separation of the hosts for a distance of one mile will help reduce infection. Ideally, to minimize disease host availability, plant trees and shrubs that are resistant to rust diseases. There are many apples, crabapples, hawthorns, and junipers that exhibit resistance to these diseases. The Morton Arboretum publication Crabapples for the Home Landscape provides information on selecting crabapples.

Chemical Control
Protective fungicides can be applied to help minimize infection. A minimum of three applications should be done. These applications protect the new leaves from spores that are dispersed from the juniper host in mid-spring. Spraying apple, crabapple, and hawthorn foliage after symptoms develop has no controlling effect.
Apples and Crabapples: Begin spraying when new growth appears and flower buds show color but are not yet open. Repeat three to four times at 10 to 14 day intervals.",Apple
3,Healthy Apple,Normal,Nothing,Apple
4,Healthy Blueberry,Normal,Nothing,Blueberry
5,Cherry Powdery Mildew,"Leaves-the first symptom is a light-green, circular lesion on either leaf surface. A subtle white cotton-like growth develops in the infected area. Mycelial growth can be sparse and difficult to detect. Early symptoms can be easier to find when the sun is over the back of your shoulder highlighting the colony. Severe leaf infection can result in curling and/or blistering, and leaves are covered with the characteristic white cotton-like growth. As infected leaves age, small, black bodies (chasmothecia) are formed.

Fruit-circular, slightly depressed areas develop late in the season on the surface. Symptoms gradually start at the stem cavity (stem/fruit attachment zone) and radiate out onto the fruit from there. A subtle white, cotton-like growth may or may not develop but can cover the entire fruit surface.","Manage irrigation. In the arid west in a typical dry spring, early irrigation may stimulate early cherry powdery mildew infections. For example, in 2002 Dr. Gary Grove documented the initiation of cherry powdery mildew infections in relationship to spring irrigation. Initial symptoms appeared 7-10 days after the first irrigation of the season in all five orchards monitored. Generally, the ground is still moist in spring and early irrigation may only jumpstart your powdery mildew season versus help your trees. Recent research has shown that a two-week delay in irrigation delayed disease initiation two weeks with no negative impact on fruit.
Pruning. Humid conditions favor cherry powdery mildew. A well pruned canopy will promote more air flow and leaf drying, reducing these humid conditions favorable for disease. Pruning will also help to achieve good spray coverage.",Cherry
6,Healthy Cherry,Normal,Nothing,Cherry
7,Corn Gray Leaf Spot,"The disease first appears in the form of small, necrotic spots with halos. These usually expand to become rectangular lesions, about 1/8 inch wide by up to 2 inches to 3 inches long and gray to brown in appearance. Mature lesions usually have distinct parallel edges and appear opaque when put up to the light, but the lesions hybrids vary widely in shape and color. Symptoms can sometimes be confused with northern corn leaf spot, although gray leaf spot lesions are usually limited on the sides by veins.","Disease management tactics include using resistant corn hybrids, conventional tillage where appropriate, and crop rotation. Foliar fungicides can be effective if economically warranted. Typically they are only profitable on susceptible inbreds or susceptible hybrids under a combination of high risk conditions with high yield potential, prolonged humid conditions, and evidence of disease development.",Corn
8,Corn Common Rust,"Lesions begin as flecks on leaves that develop into small tan spots
Spots turn into elongated brick-red to cinnamon-brown pustules with jagged appearance
Found on both upper AND lower leaf surfaces (unlike southern rust)
Pustules turn dark brown to black late in the season
Occurs on leaf only, NOT on sheaths, stalks, ear shanks and husk leaves","Genetic Resistance
Pioneer researchers screen hybrids and parent lines for resistance and provide ratings for customers
Most hybrids are rated from “3” to “6” on a scale of 1 to 9 (9=resistant), indicating there are clear differences between hybrids, but complete resistance is not available
Growers should choose hybrids with a “5” or “6” rating in areas that frequently experience common rust
Scout corn to detect common rust early
Monitor disease development, crop growth stage and weather forecast
Apply a foliar fungicide if:
Rust is spreading rapidly or likely to spread and yield may be affected
Disease exceeds threshold established by your state extension plant pathologist
Commonly used fungicides include Aproach®, Headline®, Headline SC, Headline AMP®, PropiMax® EC, Quadris®, Quilt®, Quilt Xcel®, Stratego®, Stratego® YLD and Tilt®",Corn
9,Corn Northern Leaf Blight,"Typical symptoms of northern corn leaf blight are canoe-shaped lesions 1 inch to 6 inches long. The lesions are initially bordered by gray-green margins. They eventually turn tan colored and may contain dark areas of fungal sporulation. The length or size of lesions may vary with in different corn hybrids reactions with different resistance genes. Lesions begin on the lower leaves and then spread to upper leaves. Severe symptoms can progress rapidly, resulting in blighted leaves. The disease can be confused with symptoms of Goss's leaf blight on some hybrids, and perhaps with Stewarts wilt where this disease occurs.","CULTURAL CONTROL

Before planting:

Choose hybrid varieties with known resistance to maize northern leaf blight; this is the most important way of managing the disease.
During growth:

Make sure that the plants have adequate nutrients. Do not over supply nitrogen, but make sure phosphorus and potassium are at optimal levels.
Control weeds, especially grasses that might be alternative hosts of the fungus.
After harvest:

Collect the remains of the crop and destroy by burning or burying.
Practise crop rotation; rotate with non-grass crops.
RESISTANT VARIETIES
There are resistant hybrid varieties to this disease; check those available from retailers in your country.

CHEMICAL CONTROL
Chemical control should not be necessary for the management of this disease, and its use is unlikely to bring economic returns. However, if fungicides are needed, use chlorothalonil or mancozeb.",Corn
10,Healthy Corn,Normal,Nothing,Corn
11,Grape Black Rot,"Symptoms of black rot first appear as small yellow spots on leaves. Enlarged spots (lesions) have a dark brownish-red border with tan to dark brown centers. As the infection develops, tiny black dots appear in the lesion, usually in a ring pattern near the border of the lesion. These dots are fungal structures (pycnidia), which contain thousands of spores (conidia) that can infect new tissue. New infections can occur in less than 10 hours at temperatures between 60 to 85 degrees Fahrenheit.","Cultural Practices
For new grape plantings, select a sunny location that allows for good air movement. Orient rows with the prevailing winds to allow plants to dry quickly during wet weather.

Sanitation
Sanitation plays an important part in limiting the amount of black rot inoculum found in a vineyard. If only a few leaf lesions appear in the spring, these should be removed. The removal of diseased tendrils and canes through pruning during the dormant season will reduce the amount of spores available to cause infections in the spring. However, the removal of mummies either on the vineyard floor or remaining in the canopy, will have the largest impact in reducing black rot disease in the vineyard. Mummies in the canopy provide inoculum much later into the season than those that have fallen to the vineyard floor and thus should be given priority for removal. In small plantings, removal of diseased fruit when they are first observed is encouraged. Any mummies remaining in the canopy at the end of the season should be dropped to the ground and buried.

Chemical control
Fungicides, applied early in the growing season, are a critical component of a black rot management program. The most effective spray program targets the period prior to bloom when spore production peaks. Fungicides should be sprayed during the period from early bloom through three to four weeks after bloom.",Grape
