Index,Disease,Symptom,Treatment
0,Apple Scab,"Brownish-green spots appear on the leaves or fruit. As the infection progresses, the spots become darker and more prominent and take on a velvety texture due to spore (conidia) formation.","Foliar applications of Propizol in crabapple trees. Alternatively, apply Propizol by trunk injection. Make applications when the trees are in full leaf and actively growing for control of the next season’s leaf disease development."
1,Apple Black Rot,Large brown rotten areas can form anywhere on the fruit but are most common on the blossom end.,Keep all the fallen debris and dead fruit cleaned up and away from the tree.
2,Cedar  Apple Rust,"On apple and crab-apple trees, look for pale yellow pinhead-sized spots on the upper surface of the leaves shortly after bloom. These gradually enlarge to bright orange-yellow spots which make the disease easy to identify.","Apply preventative, disease-fighting fungicides labelled for use on apples weekly, starting with bud break, to protect trees from spores being released by the juniper host. "
3,Healthy Apple,Normal,Nothing
4,Healthy Blueberry,Normal,Nothing
5,Cherry Powdery Mildew,Plants infected with powdery mildew look as if they have been dusted with flour.,"Once plants are heavily infected, it’s very difficult to get rid of the disease, so focus on preventing it from spreading to other plants. Remove all infected foliage, stems, and fruit and destroy them, either by throwing them in the trash or by burning."
6,Healthy Cherry,Normal,Nothing
7,Corn Gray Leaf Spot,"Leaf lesions, discolouration (chlorosis), and foliar blight. Distinct symptoms of GLS are rectangular, brown to grey necrotic lesions that run parallel to the leaf, spanning the spaces between the secondary leaf veins.","Burying the debris under the last year’s crop will help in reducing the presence of fungus, as the fungal-infected debris can only survive above the soil surface."
8,Corn Common Rust,"Tiny, yellow, pinprick spots appear on leaves. Seven days after these symptoms appear, they develop into reddish-brown pustules that are formed on the upper and lower surface of the leaf.","To reduce the incidence of corn rust, plant only corn that has resistance to the fungus. Resistance is either in the form of race-specific resistance or partial rust resistance."
9,Corn Northern Leaf Blight,"Formation of lesions on the leaves. They are long, narrow lesions that eventually turn brown. The lesions may also form greyish coloured borders around their edges.","The fungus overwinters in plant material, so it is also important to manage infected plants. Tilling the corn into the soil is one strategy, but with a small garden it may make more sense to just remove and destroy the affected plants."
10,Healthy Corn,Normal,Nothing
11,Grape Black Rot,"The earliest signs of disease appear as yellow circular lesions on young leaves. As these lesions spread, they brown and sprout black fungal fruiting bodies that look similar to grains of pepper.","During your fall clean-up, make sure that all mummies have been removed from the vine and all plant material on the ground below is destroyed. Prune out any and all areas with lesions."
12,Grape Esca (Black Measles),"The ""stripes"", which start out as dark red in red cultivars and yellow in white cultivars, dry and become necrotic.",There are no effective management strategies for measles. Best thing to do would be to remove infected fruit prior to harvest.
13,Grape Leaf Blight (Isariopsis Leaf Spot),"Infected plants have brown or black water-soaked spots on the foliage, sometimes with a yellow halo, usually uniform in size.","Spray baking soda solution (a tablespoon of baking soda, 2 1/2 tablespoons of vegetable oil, a teaspoon of liquid soap, not detergent, to one gallon of water), or neem oil (do not use when pollinating insects including bees or other beneficial insects are present)."
